id;name;code;active;deleted_at
1;uh-huh lento;terribly till eleger;true;2026-05-15T07:40:27
2;ah rato;falar tempo;true;2026-05-15T04:26:44
3;yahoo;that opposite;true;2026-05-15T02:35:18
4;after even;cuidar which um;true;2026-05-15T20:18:40
5;oh digitalizar;to;true;2026-05-15T04:19:49
6;less;inteligente bom;false;2026-05-15T12:35:42
7;refletir consciente;gee lest consequently;true;2026-05-14T23:57:54
8;atualizar obnoxiously;immediately whereas towards;true;2026-05-15T09:20:58
9;inimigo throughout;briefly edredom;true;2026-05-15T22:16:04
10;fatura ha;geez that;true;2026-05-15T21:52:13
11;than;blah;false;2026-05-15T00:07:23
12;estrela excepting unless;ver that but;false;2026-05-15T16:48:47
13;yippee;estádio;true;2026-05-15T02:28:12
14;minuto;nor drat cérebro;false;2026-05-14T23:35:00
15;hence hopelessly;who after;false;2026-05-15T15:45:53
16;terribly;fortunately ha;false;2026-05-15T20:41:35
17;now once;amidst daintily;true;2026-05-15T01:47:34
18;of;unethically;true;2026-05-15T06:40:30
19;from dente;semana responder;true;2026-05-15T02:57:46
20;while;to médico uh-huh;true;2026-05-15T06:56:48
21;comentar hambúrguer beside;gordo grelhar oh;true;2026-05-14T23:21:08
22;pescoço folha verdadeiro;sleepily coçar;false;2026-05-15T03:52:25
23;salada;anti duh apropos;true;2026-05-15T07:35:25
24;generoso;opposite without what;true;2026-05-15T18:22:19
25;desconectar inside;except cérebro of;false;2026-05-15T22:12:22
26;before besides atualizar;nearly softly digitalizar;false;2026-05-15T22:25:29
27;wrongly;indeed oof;false;2026-05-15T01:15:03
28;what carelessly;padaria ficar;true;2026-05-15T09:27:49
29;aluno notícia yahoo;aha incidentally;true;2026-05-15T17:29:42
30;fazenda;barring;true;2026-05-15T13:07:30
