id;name;code;country_id
1;phooey over sujo;so baixar ;1
2;cego surpreender once;bloquear;2
3;of adventurously segundo;elefante;3
4;livro;sólido dat;4
5;geez furthermore;contente;5
6;modulo scarily musculoso;data why b;6
7;lively;for;7
8;unless beautifully;that afiad;8
9;furthermore visível;aha;9
10;olho considering;tapete;10
11;beyond falar considerar;even to re;11
12;gasoso leve anti;instead;12
13;for more;sujo;13
14;protestar medir;than calml;14
15;silently humano;rudely lem;15
16;hm folha;programar;16
17;multar although;correr hea;17
18;given crescer;ha drat mo;18
19;though;pão mentir;19
20;ativo round;until;20
21;punctually;thoroughly;21
22;surpreender;aplicativo;22
23;meme swiftly;praia coça;23
24;foolishly cair incidentally;yowza unti;24
25;gah boohoo past;raiz where;25
26;whenever;franticall;26
27;buscar calor melhorar;per;27
28;er oferecer;livraria;28
29;aluno passivo opposite;of;29
30;at mmm as;excluir re;30
